id,kmeans_basicos,kmeans_superficie,kmeans_metroscubiertos,kmeans_fechas,kmeans_latlng
270980,5,4,1,0,0
114276,5,5,5,8,6
227278,5,4,1,0,0
69827,2,7,2,3,0
183957,5,7,1,4,0
139467,2,0,4,4,6
126416,4,0,1,6,0
11840,1,1,0,10,0
203992,5,0,1,9,0
48369,2,0,4,9,2
110067,5,6,1,10,0
49646,3,1,0,8,2
33712,5,0,1,6,0
81195,5,7,1,0,0
158350,2,7,1,6,7
68608,2,0,1,6,7
258878,4,1,2,6,0
70673,5,4,1,4,0
277149,0,0,1,7,7
70366,1,6,2,8,3
86982,0,5,3,7,7
14801,5,4,1,1,0
68238,3,3,3,10,0
72658,3,6,2,10,0
188842,3,5,5,7,0
105483,3,7,2,6,0
33771,5,4,1,3,5
49616,0,4,4,7,0
18511,2,4,1,0,0
233065,2,7,2,0,5
252254,3,6,2,8,6
247425,2,7,2,5,0
14228,1,1,0,10,0
246928,2,0,4,10,6
99673,1,3,3,4,0
193815,5,1,2,10,0
160687,1,1,5,9,0
285383,5,4,1,5,0
187385,5,7,1,5,0
212041,5,4,1,5,7
164883,5,4,1,7,0
125412,5,4,5,8,0
197913,1,2,0,2,0
232596,1,1,0,3,5
250273,1,6,2,6,2
46540,2,0,4,10,6
37970,0,7,1,4,5
86207,2,0,4,6,6
223353,1,6,1,3,6
5810,5,7,1,6,0
45125,1,1,0,4,0
157324,5,5,3,7,0
83719,5,4,1,8,3
1416,5,4,4,0,0
246070,1,1,0,5,0
145820,3,1,0,9,6
58909,2,7,1,3,0
100792,5,1,0,1,0
33827,5,5,3,2,0
100861,2,7,1,1,0
95548,2,7,1,6,6
4822,4,6,2,10,7
93871,3,1,0,6,6
131687,3,5,0,9,0
213734,5,0,4,10,6
50692,4,6,2,6,0
204995,3,1,0,5,6
238932,1,3,3,5,0
155331,1,6,2,4,6
103163,2,7,1,0,7
203002,3,2,0,5,0
27205,2,7,2,10,5
104610,2,6,5,3,0
121262,5,7,2,9,0
242278,2,0,4,9,6
223652,5,6,1,9,0
929,5,0,4,9,0
295966,3,1,0,9,0
281684,2,7,1,8,6
98278,2,0,4,10,0
151087,5,7,1,4,0
253204,1,1,0,1,0
43705,2,0,4,5,6
193555,1,6,0,5,0
233662,1,7,2,10,0
134380,4,4,1,1,0
91825,1,1,0,9,0
123025,5,0,4,3,7
110004,2,7,1,4,0
241949,3,7,1,0,0
225438,5,5,0,6,0
284034,1,3,0,10,6
241937,3,2,0,4,0
1976,1,1,2,4,7
233685,3,5,3,6,0
1527,2,4,1,3,0
3221,1,7,2,1,5
136871,5,0,1,9,0
144952,0,0,1,2,7
4609,2,0,4,0,6
80025,5,4,1,6,0
128421,0,4,4,9,0
149879,1,2,3,1,6
79049,2,0,4,5,0
153519,2,7,1,1,0
130215,5,0,4,9,6
63068,1,6,2,0,0
231636,2,0,4,1,2
237547,5,6,2,9,0
100528,2,4,4,6,6
62730,2,0,4,1,6
42690,1,6,5,5,0
271681,3,7,2,7,0
143725,3,2,3,2,0
20830,2,7,2,1,0
142453,5,0,4,1,0
171544,5,6,2,4,6
232768,1,7,2,3,6
173679,3,1,0,5,6
199424,5,4,1,10,0
76493,5,0,4,1,0
165038,0,4,4,9,6
4378,5,6,2,6,0
270212,2,4,4,7,0
125465,1,6,2,6,0
208459,1,6,2,7,6
78770,5,4,1,4,7
109224,2,0,4,1,7
274403,3,7,2,8,6
184145,2,7,2,3,7
201327,2,4,4,1,6
200837,3,1,2,1,0
237183,5,0,4,6,0
100659,5,7,1,2,3
247939,2,4,4,4,0
74110,0,4,1,2,6
17677,5,4,1,5,0
67919,3,3,3,0,7
186814,1,1,2,0,0
62123,2,4,1,6,6
179128,4,5,0,3,0
217845,5,0,4,3,6
5972,1,2,3,9,0
116954,5,0,4,4,6
79960,5,7,2,1,0
291104,2,0,4,2,6
246193,5,0,4,4,0
12145,0,1,0,7,0
290286,5,0,4,9,0
212162,2,7,1,8,6
55466,0,0,4,4,5
94396,1,5,5,7,0
52920,2,6,2,10,0
143858,5,4,4,4,0
188686,5,7,1,5,7
100877,2,4,1,10,6
144159,1,1,0,1,6
16325,4,2,3,10,0
43801,0,6,5,3,3
149347,0,4,4,8,6
56475,5,4,4,0,0
110074,0,5,5,0,0
55172,5,0,4,6,6
157486,1,1,0,0,0
143295,2,7,2,1,0
5321,5,4,1,2,0
216322,5,4,1,6,6
212546,5,0,4,0,0
161570,1,7,2,8,0
123989,5,3,3,6,0
238337,0,2,3,2,0
182333,1,6,5,1,6
70715,1,6,2,5,0
250663,1,1,0,1,0
161342,1,6,2,10,3
251416,5,0,4,0,6
94337,3,7,1,0,6
109704,2,0,4,5,0
268772,3,6,0,6,7
111327,5,0,4,5,6
38143,2,7,2,7,6
39494,1,2,3,0,6
102124,2,0,1,9,6
250069,2,0,4,6,2
208268,1,2,3,10,3
166399,1,1,2,1,0
4501,3,6,2,0,6
165119,5,4,1,0,6
245705,5,6,2,8,6
233667,1,2,3,8,0
20280,4,7,1,0,0
59058,1,3,0,6,7
278941,1,2,3,3,6
59017,1,7,2,10,7
291049,5,7,2,4,0
69738,3,5,5,1,0
38340,1,1,0,0,0
202164,2,1,0,1,6
280453,1,1,0,0,0
260728,0,1,0,4,0
55846,2,0,4,3,0
4545,5,7,2,5,0
60426,5,6,2,6,6
279001,1,6,2,10,0
878,0,1,2,5,0
141799,1,7,2,8,0
131492,0,7,2,9,0
181444,3,1,0,7,0
208109,2,7,1,9,0
143187,5,7,2,6,6
155408,1,3,0,9,6
76237,5,7,2,0,0
23066,5,1,0,10,0
143050,3,1,0,8,0
299920,2,0,4,6,7
192103,1,5,3,8,0
257614,3,6,2,10,6
115183,4,6,2,6,0
225062,3,1,0,9,0
225958,5,4,1,9,5
227708,5,4,1,6,0
100517,0,4,4,5,6
81813,5,0,1,9,0
20370,1,3,3,6,6
41314,5,4,1,5,0
281879,5,6,2,9,7
133728,5,7,4,0,0
71493,5,4,1,8,6
59355,2,4,1,1,0
122483,1,1,0,6,0
115462,2,0,4,1,6
134803,3,6,2,3,6
193676,0,6,2,7,0
281680,3,3,3,4,6
170,5,7,1,2,6
194182,1,5,0,1,0
237931,2,4,1,7,6
195003,0,6,2,7,7
259305,2,4,4,2,6
147123,5,7,2,9,3
100205,0,7,1,0,0
298891,3,3,3,9,6
104553,2,0,1,3,6
283609,3,5,5,6,0
209071,4,6,2,7,0
205005,2,6,2,10,0
36316,5,1,0,7,0
194159,1,3,0,0,7
227408,2,0,4,5,0
82397,2,0,4,1,6
46457,5,6,1,4,7
272358,5,7,2,8,0
250155,2,7,2,5,0
32753,2,6,2,3,0
58007,1,1,0,4,6
178133,5,7,2,5,0
167542,1,6,2,4,7
140053,1,6,2,5,0
172742,5,4,4,4,0
250542,3,6,2,6,6
208484,0,4,1,2,5
218257,2,0,4,0,0
153577,5,0,4,4,6
207183,5,4,1,10,0
197755,1,1,0,2,0
17832,5,6,2,3,7
60322,2,0,4,4,6
294361,5,4,1,5,0
9893,0,2,3,9,5
58592,3,1,2,10,0
19526,5,4,4,4,0
35143,5,0,1,9,7
288656,1,1,0,9,0
132491,5,0,4,4,6
228187,2,4,1,8,5
92435,2,0,1,1,0
233180,1,1,0,4,6
258195,2,0,4,3,0
157491,1,1,0,0,0
258047,3,6,2,9,0
100106,5,4,1,5,2
112278,2,4,1,10,0
217561,3,1,0,9,5
132142,3,1,0,5,0
205620,2,7,1,3,0
45293,1,6,2,10,0
147373,1,1,0,6,0
98627,3,6,2,6,7
139515,1,7,2,0,0
260421,1,6,2,9,0
225044,5,7,1,9,0
83083,5,4,1,7,5
188630,2,1,0,0,0
282918,5,0,4,6,6
219139,1,2,3,10,0
660,1,6,2,1,0
163921,5,7,2,4,2
88311,5,0,4,4,0
774,3,5,3,9,0
176707,2,7,1,5,6
109416,2,4,1,9,0
72875,1,6,2,1,0
132033,0,1,0,3,0
75138,5,7,1,0,0
266105,3,3,3,7,6
268973,5,0,1,8,3
27815,5,4,1,10,0
139168,2,7,1,2,0
288171,3,6,2,4,6
22276,5,4,1,10,7
180649,1,1,0,6,0
115356,5,4,1,10,0
213034,3,6,2,2,0
93795,5,0,1,5,0
47903,2,4,1,6,6
50364,5,4,4,5,0
291725,2,0,1,4,6
288975,2,6,2,2,0
154239,2,0,4,7,0
26168,5,7,2,6,6
215673,2,7,1,3,7
63484,1,7,2,1,0
135904,5,4,4,1,0
289415,5,6,2,1,0
191063,2,0,4,1,0
248675,4,4,4,6,0
150010,0,4,1,8,6
4421,3,7,1,0,7
88928,5,4,4,10,6
116423,1,1,0,2,3
124699,2,1,0,8,7
226815,5,1,0,5,0
38212,1,7,2,1,0
19319,0,4,4,10,0
180384,5,0,4,10,6
261326,3,2,3,2,6
204405,5,6,2,8,6
18218,5,6,2,1,0
88457,1,2,3,2,0
42950,4,3,3,1,0
71716,5,0,4,3,6
107307,3,1,0,3,0
298215,1,1,0,1,0
92248,1,1,0,4,0
13696,5,0,4,2,7
219375,0,6,2,1,0
269691,2,6,2,2,6
163224,2,4,1,1,6
96329,3,3,0,4,0
209138,5,1,0,1,0
201173,5,1,2,8,0
99212,0,4,1,7,0
268810,3,2,0,5,2
161497,1,4,1,0,3
103670,2,0,4,8,6
224417,0,3,3,10,6
39836,5,7,1,1,0
12510,2,4,4,9,6
216150,5,6,2,1,3
261333,5,4,1,10,3
255320,3,1,0,5,6
118783,3,6,2,2,0
32809,5,6,2,10,6
297052,5,7,2,10,7
82795,3,1,0,10,0
138377,3,5,5,3,0
229837,5,7,2,5,0
75763,5,4,1,6,5
2512,0,3,3,7,0
62521,5,4,1,1,0
237818,5,0,4,6,0
152292,2,0,1,7,6
278403,1,2,0,2,7
11879,4,0,4,5,0
158513,1,6,2,1,7
237726,1,1,0,9,0
64742,1,5,5,6,0
31955,5,0,4,9,6
63762,2,0,4,5,6
297301,1,3,3,5,0
253803,5,6,1,4,0
78453,3,1,2,10,7
107082,5,6,2,5,0
2130,2,7,2,4,7
289423,1,7,2,4,7
84978,5,7,1,4,5
208299,5,0,1,9,6
11565,4,1,2,8,3
98108,5,4,1,3,6
97086,2,1,0,9,2
153280,1,2,3,6,2
169196,5,6,2,2,3
139589,5,4,4,10,0
182799,1,5,5,1,0
126367,3,6,2,8,0
71708,3,2,3,1,0
21776,5,7,1,8,6
277567,5,4,4,7,6
244819,3,3,3,10,6
148617,5,6,2,4,3
111579,5,4,4,9,6
219982,1,6,2,1,3
175439,3,7,2,4,0
64658,0,3,3,2,0
53635,3,1,0,5,0
55713,5,6,2,5,6
116635,0,7,2,3,6
61335,3,6,2,3,0
280443,1,4,1,8,6
251822,5,4,1,4,0
21252,3,6,2,6,0
33145,2,5,3,10,0
184641,5,5,3,8,0
279183,2,6,2,8,6
129843,5,6,2,10,0
34607,1,7,1,4,0
261220,2,0,1,7,6
170594,1,6,2,10,0
166214,5,0,1,0,6
277163,1,6,5,0,0
83002,2,0,1,1,3
139622,2,0,4,9,6
166394,3,2,0,0,0
102678,1,6,2,7,0
280664,2,0,4,8,0
97013,3,1,0,10,6
188359,1,1,0,1,0
194676,3,2,3,4,6
121663,5,0,4,10,0
153590,1,3,3,3,0
239439,2,6,2,6,6
291696,5,0,4,4,0
63553,5,6,2,0,6
270260,0,6,2,0,0
231223,1,6,2,6,0
201234,5,0,4,4,0
219448,3,7,2,5,6
209471,5,4,4,3,6
70588,1,1,0,6,2
190785,2,4,4,8,0
233364,0,1,0,4,0
154538,1,2,3,5,6
68859,5,0,1,4,0
246608,1,1,0,1,0
296281,1,5,5,5,7
41595,2,0,4,3,6
201732,1,2,0,6,0
251152,2,6,2,8,0
3539,3,7,2,4,0
206114,5,7,2,0,0
268239,1,7,2,0,0
233080,2,4,4,3,0
40790,2,6,2,10,0
72025,2,7,1,4,0
57552,1,5,5,0,0
167118,5,0,1,8,6
184600,5,0,4,3,0
284830,5,7,1,1,0
130927,2,7,1,2,6
26302,5,4,1,1,0
280686,5,0,1,4,0
186896,5,0,4,9,7
163648,1,5,3,6,0
81040,3,7,1,3,0
289813,5,4,1,2,0
91293,3,6,2,0,0
52686,3,2,3,1,6
223123,2,0,1,6,7
47090,4,4,1,4,0
297202,1,7,2,1,0
151106,1,3,3,5,0
37250,4,0,1,5,0
265478,2,0,4,4,0
172919,0,6,2,2,0
179524,0,0,4,10,0
239086,5,0,1,8,0
63985,2,4,4,5,0
22311,2,4,1,4,5
125932,5,0,4,9,0
22139,1,6,2,10,0
174097,3,3,0,6,0
84845,3,1,0,3,0
109465,1,1,0,1,6
284948,3,0,1,7,7
65434,2,0,1,9,0
22171,2,4,1,9,0
88364,1,2,3,8,0
249718,5,0,4,0,0
76423,5,4,1,3,6
156197,0,7,2,5,6
217135,1,1,0,9,0
122828,5,4,1,3,6
84395,1,1,0,8,0
79501,2,4,4,6,0
226196,1,3,3,6,6
106936,5,0,1,8,0
56254,0,1,0,6,0
203175,2,0,4,10,0
225367,3,5,3,10,7
249569,2,6,1,2,0
222573,5,6,2,4,0
152929,1,1,2,4,0
50398,1,1,2,1,6
224663,5,7,2,6,0
68933,2,7,2,4,0
61384,5,0,4,0,6
43483,1,6,2,6,0
141480,0,5,3,2,6
191774,1,5,5,10,3
231960,1,5,5,1,0
159751,4,1,0,6,0
186414,5,6,1,6,0
272167,0,1,0,6,6
36712,5,0,4,4,0
246704,5,6,1,8,0
273624,5,7,2,6,7
148502,5,6,1,4,0
227196,1,1,0,2,7
272103,1,7,2,6,6
202126,5,6,2,4,0
120856,1,3,3,1,6
149894,3,1,0,2,0
108308,1,1,0,8,6
98472,5,5,0,3,7
632,2,7,1,2,0
234569,1,3,3,9,0
50824,1,5,5,6,0
288751,2,4,1,8,6
299307,1,1,0,5,0
79108,1,2,0,0,3
296098,1,7,2,2,7
75945,2,6,5,6,0
135643,2,0,1,10,0
2898,3,0,1,10,0
299080,2,0,4,8,7
67729,5,4,5,5,5
218799,5,0,4,0,6
299274,3,0,1,9,6
122933,3,1,0,1,6
270379,1,2,0,6,0
270447,1,3,3,0,0
3077,2,4,4,0,6
14001,1,2,0,5,0
142168,2,6,0,7,6
268791,2,0,4,3,6
117094,5,7,1,6,0
175744,2,0,1,0,0
245018,1,5,3,5,0
27748,4,0,4,0,0
186396,5,7,2,8,0
145840,3,1,0,5,6
165607,2,0,4,6,6
134448,4,0,4,9,0
6669,4,6,2,7,7
6155,1,1,2,0,6
149070,5,7,2,9,6
168291,1,3,3,7,3
167322,5,4,4,5,0
284431,1,3,3,8,6
146378,5,4,1,7,0
96899,3,7,1,4,0
256478,2,0,4,5,6
173591,0,7,1,1,0
138251,1,5,3,10,0
274480,1,7,2,6,0
10585,3,2,3,6,6
269465,5,7,1,8,0
104807,5,4,1,3,0
237607,2,0,4,7,0
112464,2,4,4,10,0
114384,1,1,0,0,6
143500,2,7,1,6,5
246603,3,1,0,6,6
96636,5,4,1,0,0
288969,2,7,1,4,6
123309,1,1,0,10,6
195450,1,6,2,1,6
117910,0,1,0,0,0
239971,5,6,2,4,0
94104,0,6,2,3,7
247695,2,0,1,5,0
47604,2,1,0,8,0
58462,2,7,2,8,6
288688,1,2,3,2,0
93788,5,0,4,6,0
295134,2,4,4,8,6
229943,3,1,0,3,6
286123,2,0,4,8,0
178477,5,7,1,10,6
255741,5,4,1,3,6
233034,2,0,4,7,0
271555,5,0,4,9,2
270716,0,4,4,2,0
1707,5,4,4,3,0
294352,4,0,4,2,0
193649,5,0,1,7,0
194974,3,1,0,1,6
139557,5,4,4,2,6
289769,1,7,2,1,0
162034,5,7,2,1,0
206421,5,4,1,8,0
197678,5,7,1,9,6
157965,3,7,2,8,7
99617,5,1,0,4,0
161076,3,7,2,10,0
27446,2,0,4,10,0
62474,5,6,0,1,6
203064,1,2,3,2,3
122566,1,1,0,1,0
203692,2,7,1,0,6
292125,2,4,1,0,6
16181,2,7,2,7,0
86185,5,7,2,9,0
208808,0,2,3,10,6
265157,5,7,1,3,2
131688,3,7,1,6,5
126757,1,3,3,4,0
160646,2,7,1,6,6
298409,3,1,0,0,6
173585,0,1,0,1,5
270499,2,0,1,10,7
232994,5,4,4,10,0
47560,3,3,3,2,0
144261,2,4,1,5,2
32625,5,2,3,10,7
246679,5,0,4,0,6
64522,2,0,4,0,0
205323,3,3,0,2,6
59454,1,1,0,5,0
215015,2,7,2,1,0
257120,2,7,2,9,6
235110,2,7,1,6,0
253261,5,0,4,6,0
269687,5,1,0,1,2
33032,2,7,2,5,0
233323,5,0,4,6,2
231828,5,0,1,9,0
222110,5,4,1,4,0
87452,1,1,0,10,0
70240,5,0,4,9,5
134494,1,2,0,10,6
70535,2,4,1,8,6
283371,1,5,0,8,0
72793,2,7,2,7,6
34631,2,7,1,3,0
23937,2,7,1,2,0
186711,1,1,0,4,0
107607,3,1,0,2,0
299194,5,0,4,0,7
172375,2,4,4,3,0
252899,1,3,3,2,0
172133,1,1,0,5,0
224669,5,4,1,7,0
242050,1,2,3,8,6
139129,3,1,0,0,0
137674,5,6,2,4,0
35778,3,3,3,6,7
278885,5,0,4,1,0
228618,1,3,3,2,6
156913,1,5,3,1,0
140976,5,5,0,7,0
61211,3,5,5,9,0
180117,5,7,2,6,7
276281,1,1,0,5,0
95954,2,6,2,0,6
176017,5,0,4,5,0
198483,0,6,1,6,0
185181,3,5,5,4,6
15260,2,0,4,8,6
225379,2,4,1,10,0
110568,3,5,5,1,6
270938,1,1,0,6,0
92397,5,0,4,9,0
269858,0,1,0,10,0
219069,4,3,0,10,0
84290,3,6,2,10,6
89145,2,7,1,4,0
291130,1,1,0,3,0
262686,3,2,3,7,0
285797,1,5,3,10,6
228371,1,5,5,3,3
192966,4,6,1,4,6
67992,3,1,0,9,6
225646,1,7,2,6,0
124524,2,4,1,2,6
33917,5,4,1,1,0
22162,2,4,4,2,6
252045,2,0,4,7,0
182806,1,5,0,6,0
57710,5,7,2,2,0
12297,2,7,1,2,0
294441,5,7,1,2,6
243920,3,2,3,0,0
46054,3,1,0,10,0
140903,1,2,3,0,0
113439,5,6,2,8,0
239861,5,0,4,0,6
66466,2,0,1,5,0
254893,5,7,2,6,0
235225,0,1,0,9,0
2302,1,3,0,10,0
8854,3,1,0,0,5
234653,1,1,0,3,6
56370,2,7,2,4,6
216702,2,0,1,4,0
69485,5,0,1,6,0
116273,2,0,4,7,0
63759,5,0,4,2,7
187713,3,5,3,6,0
85715,2,0,4,6,0
271990,1,3,3,5,6
64047,3,2,3,2,6
237342,5,0,1,1,0
291928,5,4,4,2,0
195661,0,6,2,7,6
87173,5,6,2,9,0
199884,5,0,1,9,0
192100,5,6,1,9,6
277263,1,1,0,4,0
16937,5,7,1,3,0
252073,1,5,0,10,6
158120,2,0,1,6,0
244113,2,4,1,7,6
54587,3,2,3,6,6
93504,5,4,1,6,0
84016,3,6,2,10,0
247094,5,0,4,1,0
195765,1,5,5,0,0
165650,3,2,0,6,6
106735,5,6,2,5,6
183454,5,0,1,9,7
20564,0,2,0,8,0
244605,5,1,0,10,0
224366,2,4,4,7,6
285642,1,1,2,4,6
110571,5,6,2,3,6
199911,1,2,3,3,0
121777,1,1,2,10,0
204742,5,6,2,5,6
165791,5,0,4,6,3
77052,2,0,4,5,0
247232,0,1,0,4,0
4982,2,0,4,4,5
236393,1,5,3,5,0
13068,5,0,4,10,0
29154,3,5,5,5,0
200145,2,6,1,8,0
124930,2,7,1,10,0
142112,5,6,2,9,0
6999,3,5,3,3,6
224835,5,6,2,9,6
276155,0,6,2,2,7
103902,5,0,4,3,6
34002,3,1,0,6,6
276230,1,5,5,5,5
165831,5,6,2,8,5
176676,5,3,0,2,0
271501,2,0,1,7,6
149251,2,0,4,3,0
256542,5,7,1,10,5
298725,5,6,2,10,6
134171,5,4,1,10,0
34868,2,7,2,7,6
192725,5,5,3,2,6
252645,1,2,3,6,0
211124,1,6,2,0,0
129643,2,6,1,0,0
187406,2,6,1,1,7
276502,5,4,4,6,0
149483,3,1,0,8,6
32748,5,6,2,5,0
47615,0,6,2,7,0
287048,5,7,1,0,6
273352,3,1,0,6,0
244798,1,6,2,1,0
187833,5,0,4,0,6
51116,2,6,2,0,0
125834,0,0,4,7,0
132036,2,6,2,8,2
201136,5,6,2,8,0
200766,3,3,3,0,6
54117,2,4,1,9,6
175168,2,0,4,6,0
55899,1,5,3,10,6
146111,2,0,4,4,6
115900,2,0,4,6,0
72783,1,2,3,4,0
290045,1,1,0,10,5
191608,0,6,2,4,5
102114,2,7,2,6,7
101479,3,7,1,10,6
243033,5,0,4,9,0
223625,5,4,1,1,6
206744,5,0,1,10,0
147036,5,4,1,5,0
126091,3,3,3,1,0
265843,2,7,1,6,0
60895,5,4,4,1,6
35451,5,7,2,5,0
10725,2,4,4,0,6
36039,0,0,4,1,3
52026,5,4,4,8,0
141161,1,1,2,9,6
82822,5,7,1,1,7
87475,5,0,4,6,0
30402,1,3,3,3,6
123048,0,0,4,5,0
108965,1,2,3,6,0
121188,0,3,3,2,0
176329,1,5,5,9,0
103412,0,0,1,4,7
78360,3,3,3,3,0
68130,2,7,1,1,0
33603,3,2,3,9,6
171647,3,5,5,5,6
270054,5,0,4,3,7
293544,1,3,3,7,0
157604,2,0,1,5,6
266113,5,4,1,6,0
78595,2,4,1,6,6
137467,2,0,1,6,6
219084,1,6,2,9,7
215582,5,4,1,2,0
1057,0,2,0,8,0
39529,1,1,0,10,6
266916,2,5,5,1,6
94795,2,6,2,5,0
229535,0,7,2,0,0
22636,3,6,5,4,0
253632,5,7,2,4,0
234714,2,7,1,3,0
184007,0,5,3,4,6
63274,5,4,4,0,6
32415,0,2,3,9,0
50327,3,2,3,9,7
179429,5,7,1,9,0
111809,3,0,1,10,0
210935,2,0,4,8,6
159421,1,2,3,9,0
14420,3,1,0,9,0
179334,3,2,3,10,0
233457,1,6,2,7,3
28838,2,5,0,4,0
214690,4,4,4,10,6
81155,2,0,4,3,6
103754,3,6,2,1,0
249505,2,7,2,0,0
16247,2,0,4,7,0
129250,1,6,2,1,0
36427,1,1,0,4,0
56695,3,7,2,9,7
104350,5,0,4,0,0
75806,3,2,3,8,6
148171,0,5,5,5,6
264940,5,4,1,4,0
132194,3,6,2,10,0
104022,5,4,1,5,6
88162,3,2,3,1,6
222438,5,0,4,10,7
8251,5,6,2,0,0
88473,5,6,2,9,0
237899,0,7,2,10,6
65895,5,6,2,9,3
108920,2,1,2,0,0
177377,5,7,1,1,0
64746,3,7,1,8,6
207406,2,1,0,4,6
173931,5,0,4,2,0
180372,5,6,2,6,5
152315,5,0,1,9,5
1741,4,6,2,8,0
195344,3,5,5,1,0
291535,5,0,4,10,0
65365,0,4,4,6,6
84060,5,4,4,4,6
1002,1,6,5,6,0
277254,5,6,2,3,6
65278,2,4,1,4,0
272556,1,3,3,7,0
216058,2,7,1,9,6
87786,5,0,4,3,6
204624,1,2,3,6,0
243075,1,3,3,10,0
77023,0,1,0,9,0
196293,5,4,1,1,3
58852,1,1,0,4,6
111658,1,2,3,6,0
126606,5,0,4,4,2
116484,5,0,4,8,0
68507,1,7,2,7,5
118865,5,6,1,10,6
244253,5,4,4,9,6
260942,2,6,2,3,6
42161,5,4,1,8,0
208496,3,2,3,10,6
84279,4,0,4,1,6
95015,1,3,3,4,0
81400,3,1,0,2,6
171956,2,6,2,4,5
65481,5,4,1,7,0
263598,1,1,0,0,0
282073,5,0,4,4,0
180413,5,4,4,6,6
33160,0,0,4,5,6
71278,5,0,1,0,3
104322,3,5,0,6,0
1534,5,4,4,3,0
125294,2,4,4,7,0
6382,2,0,1,5,7
72548,3,1,0,1,6
257730,3,2,3,4,7
179491,0,4,1,5,0
184375,1,6,2,6,6
157954,0,4,1,4,6
157490,5,4,4,10,6
141651,1,1,0,10,0
298922,1,5,5,6,0
74133,5,0,1,9,6
244452,5,7,2,6,6
205357,5,0,1,9,5
171391,2,7,1,2,0
180651,2,0,4,1,7
256327,1,7,2,2,6
247756,5,6,2,1,0
159177,0,6,2,0,0
141689,2,6,1,7,6
119333,5,7,1,6,0
66407,3,3,3,8,0
109374,3,5,0,4,0
53593,1,2,3,1,0
72137,5,0,4,6,6
181659,5,6,0,7,6
5241,2,2,0,6,0
190789,5,4,1,6,0
84145,5,4,1,0,5
79464,2,0,4,8,0
207230,3,7,2,4,6
232812,5,7,4,5,6
221124,2,6,2,9,0
277179,0,2,0,8,0
188093,1,6,2,0,7
232780,2,7,1,0,0
92662,5,4,1,5,0
72817,2,7,1,3,5
121273,3,6,2,3,0
24340,2,7,1,7,6
213534,5,4,1,4,0
160918,5,5,3,0,0
290638,1,1,0,10,0
215749,1,1,0,0,0
153007,1,1,0,0,0
2680,4,7,2,8,0
22290,2,7,1,10,0
94311,5,5,3,9,0
72742,2,0,1,6,0
166516,2,6,2,1,6
52698,1,7,2,9,3
52619,2,6,2,8,0
130586,5,7,4,0,7
226153,1,2,3,9,5
103795,2,0,1,10,0
109685,2,0,1,0,0
9456,5,0,4,9,0
72865,1,6,2,3,3
